       23	2022-01-05 17:15:14	1	255	1	0
       25	2022-01-06 08:16:56	1	255	1	0
       23	2022-01-06 09:48:49	1	255	1	0
       23	2022-01-06 17:40:40	1	255	1	0
       25	2022-01-06 19:08:26	1	255	1	0
       25	2022-01-07 08:32:36	1	255	1	0
       23	2022-01-07 09:47:10	1	255	1	0
       23	2022-01-07 17:48:56	1	255	1	0
       25	2022-01-07 18:35:57	1	255	1	0
       25	2022-01-08 08:21:28	1	255	1	0
       23	2022-01-08 09:59:09	1	255	1	0
       25	2022-01-08 18:18:53	1	255	1	0
        3	2022-01-10 08:19:52	1	255	1	0
       25	2022-01-10 08:28:18	1	255	1	0
       24	2022-01-10 11:58:49	1	255	1	0
       28	2022-01-10 13:43:53	1	255	1	0
       28	2022-01-10 17:51:30	1	255	1	0
       24	2022-01-10 17:51:59	1	255	1	0
        3	2022-01-10 17:52:35	1	255	1	0
        3	2022-01-11 08:25:38	1	255	1	0
       23	2022-01-11 09:39:47	1	255	1	0
       23	2022-01-11 09:41:33	1	255	1	0
       24	2022-01-11 11:58:16	1	255	1	0
        3	2022-01-11 17:58:00	1	255	1	0
       24	2022-01-11 17:58:07	1	255	1	0
       23	2022-01-11 18:03:20	1	255	1	0
       23	2022-01-11 18:03:22	1	255	1	0
       25	2022-01-12 08:12:49	1	255	1	0
        3	2022-01-12 08:21:35	1	255	1	0
       23	2022-01-12 09:53:40	1	255	1	0
       24	2022-01-12 11:55:51	1	255	1	0
       28	2022-01-12 14:31:57	1	255	1	0
       23	2022-01-12 17:56:52	1	255	1	0
        3	2022-01-12 17:58:31	1	255	1	0
       24	2022-01-12 18:07:36	1	255	1	0
       28	2022-01-12 18:07:43	1	255	1	0
        3	2022-01-13 08:25:32	1	255	1	0
       23	2022-01-13 09:39:20	1	255	1	0
       24	2022-01-13 11:52:54	1	255	1	0
        3	2022-01-13 17:53:04	1	255	1	0
       24	2022-01-13 17:55:02	1	255	1	0
       25	2022-01-14 08:14:18	1	255	1	0
        3	2022-01-14 08:28:30	1	255	1	0
       23	2022-01-14 10:01:31	1	255	1	0
       24	2022-01-14 12:10:37	1	255	1	0
       29	2022-01-14 12:28:21	1	255	1	0
       29	2022-01-14 12:30:19	1	255	1	0
       28	2022-01-14 15:16:09	1	255	1	0
       28	2022-01-14 17:53:08	1	255	1	0
        3	2022-01-14 17:57:08	1	255	1	0
       29	2022-01-14 17:57:18	1	255	1	0
       23	2022-01-14 17:59:32	1	255	1	0
       24	2022-01-14 18:50:26	1	255	1	0
       25	2022-01-14 19:38:43	1	255	1	0
        3	2022-01-15 08:37:25	1	255	1	0
       23	2022-01-15 09:56:19	1	255	1	0
       23	2022-01-15 17:47:14	1	255	1	0
        3	2022-01-15 17:56:51	1	255	1	0
        3	2022-01-17 08:16:03	1	255	1	0
